PLAYER,SALARY,SIGNING,TEAM,2027 SALARY,2027 STATUS
Marine Fauthoux,"$72,439",,NYL,"$288,600",Signed
Ndjakalenga Mwenentanda,"$72,439",,GSV,,
Teaira McCowan,"$69,939",UFA,MIN,,
Jordan Harrison,"$65,854",,PDX,,Reserved
Saylor Poffenbarger,"$65,854",,CHI,,
Mercedes Russell,"$65,427",UFA,IND,,
Amy Okonkwo,"$63,659",Hardship,PDX,,
Alex Wilson,"$61,463",,WAS,,
Kiana Williams,"$58,659",Dev,PHX,,
Sug Sutton,"$55,285",UFA,PDX,,UFA
Hailey Van Lith,"$54,066",Rookie,CON,,
Ashlon Jackson,"$52,683",,CON,,
Tonie Morgan,"$52,683",,LAS,"$288,600",Signed
Lexi Held,"$51,890",UFA,TOR,,Reserved
Eliska Joklova,"$46,098",,MIN,,
Marta Suarez,"$46,098",,PHX,,Reserved
Eliska Joklova,"$43,902",,MIN,,
Joyner Holmes,"$40,610",Hardship,SEA,,
Nikolina Milic,"$38,354",,TOR,,
Julie Vanloo,"$38,354",Hardship,NYL,,
Shatori Walker-Kimbrough,"$36,098",UFA,IND,,UFA
Kayla Alexander,"$31,586",,TOR,,
Rayah Marshall,"$31,586",UFA,CON,,
Aubrey Griffin,"$30,732",,NYL,,
Grace VanSlooten,"$28,537",,SEA,,
Ashten Prechtel,"$26,341",,GSV,,
Liatu King,"$24,817",UFA,MIN,,
Anneli Maley,"$24,146",,PHX,,
Jordan Harrison,"$13,171",,PDX,,Reserved
Peyton Williams,"$13,171",,PHX,,
Holly Winterburn,"$8,780",,ATL,,Reserved
